neighborhood,postal_town,locality,administrative_area_level_1,country,postal_code
,,Waterford,County Waterford,Ireland,X91 K5FY
Letterkenny,,Letterkenny,County Donegal,Ireland,
Townparks (2nd Division),,Tuam,County Galway,Ireland,H54 HD36
Portobello,Dublin 8,,County Dublin,Ireland,D08 HN8W
,,Dublin,County Dublin,Ireland,
Shandon,,Cork,County Cork,Ireland,T23 NH34
Saint Kevin's,Dublin 2,,County Dublin,Ireland,D02 XF74
Derrydarragh,,,County Sligo,Ireland,F91 FN30
,,Cabra,County Dublin,Ireland,
Dristernan,,Gleneely,County Donegal,Ireland,F93 AD79
Jobstown,Dublin 24,,County Dublin,Ireland,D24 C44W
Glenageary,,Dublin,County Dublin,Ireland,A96 A3H5
Ballyowen,,Lucan,County Dublin,Ireland,K78 RX06
Deelin Beg,,Deelin,County Clare,Ireland,
Goreybridge,,Gorey,County Wexford,Ireland,Y25 EH99
North City,Dublin 1,,County Dublin,Ireland,
Castlelost,,Rochfortbridge,County Westmeath,Ireland,
Cookstown,,Dublin 24,County Dublin,Ireland,D24 P9C5
,,Limerick,County Limerick,Ireland,V94 HP5F
Clonevin,,,County Wexford,Ireland,
,,Swords,County Dublin,Ireland,
Glebe,,Blackrock,County Dublin,Ireland,A94 TF85
Meakstown,,Dublin,County Dublin,Ireland,D11 NFP8
,,Dooradoyle,County Limerick,Ireland,V94 VY4X
Ranelagh,Dublin 6,,County Dublin,Ireland,D06 YK19
Gibraltar,Dublin 22,,County Dublin,Ireland,D22 AX80
,,Newbridge,County Kildare,Ireland,W12 D281
Rosscad,,Roscad,County Donegal,Ireland,
Yellowbatter,,Drogheda,County Louth,Ireland,A92 VW6H
,,Dublin,County Dublin,Ireland,D07 VR04
Curragh,,Kanturk,County Cork,Ireland,P51 E227
Ballinlough,,Cork,County Cork,Ireland,
Dalkey,,Dalkey,County Dublin,Ireland,
Newtown,,Limerick,County Limerick,Ireland,V94 E3WP
Deansgrange,Dublin 18,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D03 YX82
Monread South,,Naas,County Kildare,Ireland,W91 PYN1
Ranelagh,Dublin 4,,County Dublin,Ireland,D04 X0V6
Clontarf,Dublin 3,,County Dublin,Ireland,D03 X019
Cork Great,,Bray,County Dublin,Ireland,
Haggardstown,,Dundalk,County Louth,Ireland,
Balreask Old,,Navan,County Meath,Ireland,C15 FNT6
Crag,,Lahinch,County Clare,Ireland,V95 RC67
Clogharinka,,Clogharinka,County Kilkenny,Ireland,
,,Clonsaul,County Kilkenny,Ireland,
Santryhill,,Blessington,County Wicklow,Ireland,W91 DN79
Knocktoran,,Elton,County Limerick,Ireland,
Sleveen,,Townahosey,County Leitrim,Ireland,
Aghamore,,Lower Aghamore,County Mayo,Ireland,
Dunreagh,,Ashbourne,County Meath,Ireland,A84 V125
Glasnevin,Dublin 11,,County Dublin,Ireland,D11 W67P
,,An Muileann gCearr,Contae na hIarmhí,Ireland,N91 C838
Belgarrow,,Cnoc An Dara,County Mayo,Ireland,F26 PW72
Donaghmede,Dublin 5,,County Dublin,Ireland,D05 NN76
Clontarf,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D07 X0TE
Keadew,,Bunawillian,County Donegal,Ireland,
Knockahunna,,Upper Clashnevin,County Tipperary,Ireland,
Swords Demesne,,Swords,County Dublin,Ireland,
Donacarney Great,,Bettystown,County Meath,Ireland,A92 W7R9
,,Dublin,County Dublin,Ireland,
Ballard,,Cor Na Ron East,County Clare,Ireland,
Ballyviniter Lower,,Mallow,County Cork,Ireland,P51 WKP0
Montenotte,,Cork,County Cork,Ireland,T23 CX4T
Rochestown,,Sallynoggin,County Dublin,Ireland,A96 WC58
Furroor,,Shragh,County Clare,Ireland,
Ranelagh,Dublin 4,,County Dublin,Ireland,D04 E897
,Dublin 4,,County Dublin,Ireland,D04 E1T9
Glenageary,,Dublin,County Dublin,Ireland,A96 F3P9
Ranelagh,Dublin 6,,County Dublin,Ireland,D06 TW14
Sweetfields,,Youghal,County Cork,Ireland,P36 YT92
Clontarf,Dublin 3,,County Dublin,Ireland,
Ballintemple,,Cork,County Cork,Ireland,
,,Dundalk,County Louth,Ireland,
Harmonstown,,Dublin,County Dublin,Ireland,D05 FE80
Clontarf East,Dublin 5,,County Dublin,Ireland,D05 T1W0
,,Dublin,County Dublin,Ireland,D14 ER88
Mardyke,,Cork,County Cork,Ireland,T12 P218
Moorfield,,Newbridge,County Kildare,Ireland,W12 HN26
,Dublin 12,,County Dublin,Ireland,D12 TX67
,,Cork,County Cork,Ireland,
Coolmine,Dublin 15,,County Dublin,Ireland,D15 CKR7
Glasnevin,Dublin 11,,County Dublin,Ireland,D11 PW93
Garryskillane,,,County Tipperary,Ireland,E34 Y862
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 V290
Stalleen,,Staleen,County Meath,Ireland,
Bearforest Lower,,Mallow,County Cork,Ireland,P51 NTX8
,,Sligo,County Sligo,Ireland,F91 PEV9
Moneyduff,,Oranmore,County Galway,Ireland,H91 PNX3
Garryskillane,,,County Tipperary,Ireland,E34 Y862
Ballinlough,,Cork,County Cork,Ireland,
Grove Little,,Mount Saint Benedict,County Wexford,Ireland,
,,Drogheda,County Meath,Ireland,A92 KH9D
Bawnoges,Dublin 22,,County Dublin,Ireland,D22 YH72
Carrysfort,,Blackrock,County Dublin,Ireland,A94 CX82
,,Dublin,County Dublin,Ireland,
Ballsbridge,Dublin 4,,County Dublin,Ireland,
Yellowbatter,,Drogheda,County Louth,Ireland,A92 HKH3
Townparks,,Castlepollard,County Westmeath,Ireland,
,,Dublin,County Dublin,Ireland,
Dillonsland,,Navan,County Meath,Ireland,C15 P2T8
,,Mallow,County Cork,Ireland,P51 NX6R
Clonee,,Clonee,Colorado,Ireland,
,,Glasthule,County Dublin,Ireland,A96 VW01
Killeen,,Maganey,County Laois,Ireland,R93 A3A0
Shingaun,,Enniscorthy,County Wexford,Ireland,Y21 EF95
Walshestown,,Newbridge,County Kildare,Ireland,W12 FX36
Droughill,,Portarlington,County Laois,Ireland,R32 W599
Cartronkillerdoo,,Cliffony,County Sligo,Ireland,F91 NHH3
Gortlee,,Letterkenny,County Donegal,Ireland,F92 T26H
Devlis,,Ballyhaunis,County Mayo,Ireland,F35 F892
,,Waterford,County Waterford,Ireland,X91 E6HT
Baunacloka,,Mungret,County Limerick,Ireland,V94 KT7W
Ranelagh,,Dublin,County Dublin,Ireland,D06 T2W5
Termonfeckin,,Nunneryland,County Louth,Ireland,
Togher,,Cork,County Cork,Ireland,T12 Y7FP
Ballynamuddagh,,Ballymacdaugh,County Cork,Ireland,
,,Limerick,County Limerick,Ireland,V94 RDX4
Pollerton Little,,Castle Oaks,County Carlow,Ireland,R93 T8K3
Curra,,Riverstick,County Cork,Ireland,P43 A726
,,Dublin,County Dublin,Ireland,
Balrickard,,Headford,County Galway,Ireland,H91 F2CF
Kentstown,,Kentstown,County Meath,Ireland,C15 A0V5
Bray,,Bray,County Wicklow,Ireland,
Peafield,,Limerick,County Limerick,Ireland,V94 327W
Ballymacrah,,Ballymacrath,County Mayo,Ireland,
Archersgrove,,,County Kilkenny,Ireland,
Cloonalour,,Tralee,County Kerry,Ireland,V92 D42Y
Temple Bar,Dublin 8,,County Dublin,Ireland,
,Dublin 11,,County Dublin,Ireland,D11 NX39
Gortboy,,Newcastle West,County Limerick,Ireland,V42 PF99
Cosher,,Kilmuckridge,County Wexford,Ireland,Y25 C520
Graigue,,Carlow,County Laois,Ireland,R93 A3X8
,,Dublin,County Dublin,Ireland,D24 NY6N
Baybush,,Straffan Manor,County Kildare,Ireland,
,,Kilkenny,County Kilkenny,Ireland,R95 R7R8
Rocklands,,Oranhill,County Galway,Ireland,H91 C9XY
Dunmorepark,,,County Kilkenny,Ireland,R95 N9F9
Bremore,,Balbriggan,County Dublin,Ireland,K32 R722
,,Dublin,County Dublin,Ireland,D07 N5K0
Gortstuckanagh,,An Gort,Contae na Gaillimhe,Ireland,H91 CFA4
Ravenswell,,Bray,County Wicklow,Ireland,A98 TP40
Carnmore West,,Carnmore Road,County Galway,Ireland,
,,Clane,County Kildare,Ireland,
Blackwater,,Garraunboy,County Clare,Ireland,
Droughill,,Portarlington,County Laois,Ireland,R32 HW68
Abbeyquarter South,,Sligo,County Sligo,Ireland,
Kilcullenbridge,,Kilcullen,County Kildare,Ireland,
,,Dublin,County Dublin,Ireland,D02 RX98
Cornerpark,,Newcastle,County Dublin,Ireland,D22 PR99
,,Ballymore,County Cork,Ireland,
Donaghmede,,Dublin,County Dublin,Ireland,
Corbally,,Limerick,County Clare,Ireland,V94 XFD2
,,Newbridge,County Kildare,Ireland,W12 WY63
Clooneish,,Cloneish,County Roscommon,Ireland,
Abbeyside,,Dungarvan,County Waterford,Ireland,X35 F582
North City,Dublin 1,,County Dublin,Ireland,D01 K268
Gortaspiddale,,Ardfert,County Kerry,Ireland,V92 KD79
Gowelboy,,Kiltimagh,County Mayo,Ireland,F12 WV83
Newtown Little,Dublin 14,,County Dublin,Ireland,D14 XD85
Ballsgrove,,Drogheda,County Louth,Ireland,A92 PTN3
Scartagh,,Clonakilty,County Cork,Ireland,P85 A299
Jamestown,,Ratoath,County Meath,Ireland,A85 CK23
Donaghmede,Dublin 13,,County Dublin,Ireland,D13 W1R7
,,Galway,County Galway,Ireland,H91 E7NE
Ratoath,,Ratoath,County Meath,Ireland,A85 CX52
Kylebroghlan,,Moycullen,County Galway,Ireland,H91 X3XD
Blackcastle,,Navan,County Meath,Ireland,C15 Y2N4
Tullakeel,,Ballybonia,County Louth,Ireland,
Shinnagh,,Shinnagh Cross,County Kerry,Ireland,P51 CY91
Downs,,Portlaoise,County Laois,Ireland,
Hodgestown,,Mountarmstrong,County Kildare,Ireland,W91 T4C1
,Baile Átha Cliath 18,,County Dublin,Ireland,
,,Roscommon,County Roscommon,Ireland,
Magheranure,,Cootehill,County Cavan,Ireland,H16 HY59
Dooroy,,Coalpark,County Galway,Ireland,
Oldcastle,,Oldcastle,County Meath,Ireland,A82 X2D2
Townparks,,Dundalk,County Louth,Ireland,A91 H5H9
Mountshannon,,Mountshannon Road,County Limerick,Ireland,
Ballyvareen,,,County Limerick,Ireland,
Newpark,Dublin 18,,County Dublin,Ireland,
,Dublin 18,,County Dublin,Ireland,D18 DY03
Dough,,Kilkee,County Clare,Ireland,
Farranboley,Dublin 14,,County Dublin,Ireland,D14 HC98
Cornelscourt,Dublin 18,,County Dublin,Ireland,D18 E1N8
Lisnabrack,,Carrick-On-Shannon,County Leitrim,Ireland,N41 E680
Ballyroan,Dublin 16,,County Dublin,Ireland,D16 R274
,,Dublin,County Dublin,Ireland,D18 K2P4
Dún Laoghaire,,Dublin,County Dublin,Ireland,A96 F8W5
Kilmacud,,Blackrock,County Dublin,Ireland,A94 F5T8
Ballymurn Upper,,Ballymurn,County Wexford,Ireland,Y21 WR90
Lisduff,,Boherbaun,County Tipperary,Ireland,
Moorfield,,Newbridge,County Kildare,Ireland,W12 RD35
,Dublin 11,,County Dublin,Ireland,D11 FNV9
Skehanagh,,Gourbawn,County Limerick,Ireland,
,,Luimneach,Contae Luimnigh,Ireland,
,Dublin 12,,County Dublin,Ireland,D12 Y5F1
Raheen,,Limerick,County Limerick,Ireland,V94 VFV3
Glebe,,Annamoe,County Wicklow,Ireland,
Ballincollig,,Ballincollig,County Cork,Ireland,P31 CK61
,,Dublin,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Ballalease West,,Donabate,County Dublin,Ireland,
Friarsquarter West,,Ballinrobe,County Mayo,Ireland,F31 Y232
,,Dungarvan,County Waterford,Ireland,X35 K791
Kilmacud,,Blackrock,County Dublin,Ireland,A94 R7P1
Ballynamuddagh,,Ballymacdaugh,County Cork,Ireland,
Raheen,,Limerick,County Limerick,Ireland,V94 V56H
,,Dublin,County Dublin,Ireland,
,,Limerick,County Limerick,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,D06 H7N1
Ballinlough,,Cork,County Cork,Ireland,T12 D8W2
Creaghanroe,,Creighanroe,County Monaghan,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,D06 V6W3
Edenan,,Elphin,County Roscommon,Ireland,F45 VX70
Glenageary,,Ballybrack,County Dublin,Ireland,A96 E7D8
Kilbride,,Bray,County Wicklow,Ireland,A98 P8E8
Dough,,Kilkee,County Clare,Ireland,
Ballinlough,,Cork,County Cork,Ireland,T12 E30K
Burnfort,,Burnfort,County Cork,Ireland,
Ballyorril,,Ballyorrill,County Wexford,Ireland,
Dalkey,,Dalkey,County Dublin,Ireland,
Briska Beg,,Breska,County Limerick,Ireland,
,,Galway,County Galway,Ireland,H91 KRY7
Glenmullynaha East,,Glann East,County Mayo,Ireland,
Maudlintown,,Wexford,County Wexford,Ireland,
Tallaght,Dublin 24,,County Dublin,Ireland,
Lackaroe,,Buttevant,County Cork,Ireland,
Bearforest Lower,,Mallow,County Cork,Ireland,P51 TD9N
Ballycumber,,Ballycumber,County Offaly,Ireland,R35 XF60
Ballinacooley,,Glenealy,County Wicklow,Ireland,A67 XR67
Stapolin,,Dublin,County Dublin,Ireland,D13 Y2CK
Kilmoney,,Carrigaline,County Cork,Ireland,P43 R850
Turners Cross,,Cork,County Cork,Ireland,T12 N6C2
Cappocksgreen,,Ardee,County Louth,Ireland,A92 DT91
,,Limerick,County Limerick,Ireland,V94 HD9W
Ballalease West,,Donabate,County Dublin,Ireland,K36 DH34
Rickardstown,,Rackardstown,County Wexford,Ireland,
Youghal-Lands,,Youghal,County Cork,Ireland,P36 HP73
Rathnaneane,,Newcastle West,County Limerick,Ireland,V42 Y015
Bridgetown North,,Bridgetown,County Wexford,Ireland,Y35 EF61
Gardens,,Kilkenny,County Kilkenny,Ireland,R95 P3F9
Templeogue,Dublin 6W,,County Dublin,Ireland,D6W AD98
Merrymeeting,,Rathnew,County Wicklow,Ireland,A67 VH28
,,Mullingar,County Westmeath,Ireland,N91 N8C1
Ballydonagh,,Station Road,County Offaly,Ireland,
Dublin Docklands,Dublin 1,,County Dublin,Ireland,
Kilmore,,Kilmore,County Roscommon,Ireland,
Churchtown,,Kilrane,County Wexford,Ireland,
Slane,,Hill of Slane,County Meath,Ireland,
Manorcunningham,,Manorcunningham,County Donegal,Ireland,
Betaghstown,,,County Meath,Ireland,
Silloge,,,County Louth,Ireland,
,Dublin 24,,County Dublin,Ireland,D24 ERX5
,,Enniscorthy,County Wexford,Ireland,Y21 N6T4
Rathnaconeen,,,County Mayo,Ireland,
,,Dublin,County Dublin,Ireland,
Lagavooren,,Drogheda,County Louth,Ireland,A92 C7DK
Gurranabraher,,Cork,County Cork,Ireland,T23 K6WA
Carrowmore,,Knock,County Mayo,Ireland,F12 P275
Redcow,Dublin 22,,County Dublin,Ireland,D22 N500
,,Galway,County Galway,Ireland,H91 V56F
,,Laytown,County Meath,Ireland,A92 A5R5
Knockanduff,,Templars Way,County Wexford,Ireland,
Rathnapish,,Ceatharlach,Contae Cheatharlach,Ireland,R93 EC98
Chapelstown,,Carlow,County Carlow,Ireland,R93 K318
,,Lucan,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,
Freemount,,Pairc An Tobhair,County Cork,Ireland,
Broomfield East,,Midleton,County Cork,Ireland,P25 CP48
Scrawhill,,Hillcourt,County Donegal,Ireland,F94 F722
Dillonsland,,Navan,County Meath,Ireland,C15 E6T3
Castletenison Demesne,,Kilnageer,County Roscommon,Ireland,
Coolamurry,,The Leap,County Wexford,Ireland,
Gallowshill,,Dungarvan,County Waterford,Ireland,X35 RK26
Dooradoyle,,Limerick,County Limerick,Ireland,V94 EY2H
Carrowmore,,Knock,County Mayo,Ireland,F12 P275
Glebe,,Ballivor,County Meath,Ireland,C15 WF72
Ardbrack,,Kinsale,County Cork,Ireland,P17 YV09
North City,Dublin 1,,County Dublin,Ireland,D01 NR25
,Dublin 2,,County Dublin,Ireland,D02 A394
,,Dublin,County Dublin,Ireland,D04 P5X7
Tully Commons,,Tullycommons,County Mayo,Ireland,
Dillonsland,,Navan,County Meath,Ireland,C15 W9X3
Goreybridge,,Gorey,County Wexford,Ireland,Y25 FP62
Townparks,,Swords,County Dublin,Ireland,
Monanimy Lower,,Killavullen,County Cork,Ireland,
Riverstown,,Sallybrook,County Cork,Ireland,T45 YH39
Cullenagh,,Ballina,County Tipperary,Ireland,V94 R7R0
Rathmines Little,Dublin 14,,County Dublin,Ireland,D14 NH93
,,Dublin,County Dublin,Ireland,D11 K8P3
Ballymun,Dublin 9,,County Dublin,Ireland,
Enniscorthy,,Enniscorthy,County Wexford,Ireland,Y21 R1W7
,Dublin 5,,County Dublin,Ireland,D05 P5Y6
Ardea,,Tuosist,County Kerry,Ireland,
,Dublin 6W,,County Dublin,Ireland,
Headford,,Headford,County Galway,Ireland,H91 CPD0
Drumalee,,Cavan,County Cavan,Ireland,H12 WY03
Bellview,,Mullingar,County Westmeath,Ireland,N91 RT66
Aghnaskerry,,Cavan,County Cavan,Ireland,H12 PA06
Ballinatone Lower,,Keatingstown,County Wicklow,Ireland,
Kilmore,Dublin 5,,County Dublin,Ireland,D05 XV83
Oldtown,,Daingean,County Offaly,Ireland,R35 VX00
,,Dublin,County Dublin,Ireland,D07 F2N7
,,Dublin,County Dublin,Ireland,D12 NV27
Tumgesh,,Tumegesh,County Mayo,Ireland,
Coolcarta West,,Coolcarta,County Galway,Ireland,
Blackcastle,,Navan,County Meath,Ireland,C15 W3Y0
,,Cork,County Cork,Ireland,
Kilmore,Dublin 5,,County Dublin,Ireland,D05 CP74
Road,,Old Schoolhouse,County Limerick,Ireland,V94 W44V
,,Ballybane,County Galway,Ireland,H91 FC3D
Stripes,,The Stripe,County Kilkenny,Ireland,
Burrow,,Portmarnock,County Dublin,Ireland,D13 C578
Rathmines,Dublin 6,,County Dublin,Ireland,
Carragh,,Naas,County Kildare,Ireland,W91 TH9V
,,Swords,County Dublin,Ireland,
Ballybough,Dublin 3,,County Dublin,Ireland,D03 E0E3
Portobello,Dublin 8,,County Dublin,Ireland,D08 A7P6
,Dublin 7,,County Dublin,Ireland,D07 T1F8
Johnstown,,Navan,County Meath,Ireland,C15 E8WF
,Dublin 12,,County Dublin,Ireland,D12 Y260
Fairyhill,,Portumna,County Galway,Ireland,
Ballyhaden,,Borrisokane,County Tipperary,Ireland,
Cahernamart,,Westport,County Mayo,Ireland,F28 AT28
Gortcam,,Bullaun,County Galway,Ireland,
Tanderagee,,Bailieborough,County Cavan,Ireland,A82 AV29
Springfield,,Bray,County Wicklow,Ireland,A98 P7K3
,Dublin 15,,County Dublin,Ireland,
Clontarf,Dublin 3,,County Dublin,Ireland,D03 E1C9
Rochestown,,Sallynoggin,County Dublin,Ireland,A96 V2N7
,,Galway,County Galway,Ireland,
Cartronkeel,,Moate,County Westmeath,Ireland,
Dawsonsdemesne,,Ardee,County Louth,Ireland,A92 AE44
Mulgannon,,Wexford,County Wexford,Ireland,Y35 A7D3
Tonaphubble,,Sligo,County Sligo,Ireland,F91 E7FC
Rathfarnham,Dublin 6,,County Dublin,Ireland,D06 YX03
Corgarve South,,Lusmagh,County Offaly,Ireland,R42 C799
Corradoo East,,Corradoo Cottages,County Sligo,Ireland,
Clonmagaddan,,Navan,County Meath,Ireland,
Clonroad Beg,,Ennis,County Clare,Ireland,V95 P8VF
Yellowbatter,,Drogheda,County Louth,Ireland,A92 RC3N
,,Trim,County Meath,Ireland,C15 XN40
Screggan,,,County Offaly,Ireland,R35 P658
Honeypark,,Sallynoggin,County Dublin,Ireland,A96 HD34
Crossneen,,Carlow,County Laois,Ireland,R93 H9P7
,,Fermoy,County Cork,Ireland,
,,Cork,County Cork,Ireland,
Agheralane,,Augherlane,County Monaghan,Ireland,
Boheraroan,,Newmarket on Fergus,County Clare,Ireland,V95 F785
Cookstown Little,,Wheatfield,County Meath,Ireland,
Bleach,,Athy,County Kildare,Ireland,R14 KX44
Deanestown,Dublin 15,,County Dublin,Ireland,D15 HV5D
Attirory,,Carrick-On-Shannon,County Leitrim,Ireland,N41 HR67
,Dublin 6W,,County Dublin,Ireland,D6W P624
Rathmines,Dublin 6,,County Dublin,Ireland,D06 A3H3
Athlone,,Athlone,County Westmeath,Ireland,N37 K8X2
Kilnamanagh,Dublin 24,,County Dublin,Ireland,D24 X2A4
Coolrainey,,Curracloe,County Wexford,Ireland,Y21 NP76
Commons,,Mullingar,County Westmeath,Ireland,N91 D7Y7
,Dublin 5,,County Dublin,Ireland,D05 P3V2
Teltown,,Teltown Road,County Meath,Ireland,
Teltown,,Teltown Road,County Meath,Ireland,
,,Dublin,County Dublin,Ireland,
Meakstown,Dublin 11,,County Dublin,Ireland,D11 K022
,,Cavan,County Cavan,Ireland,
,,Dublin,County Dublin,Ireland,D14 V2X6
Doohallat,,Doohallet,County Cavan,Ireland,
Glengarriff,,Newtownshandrum,County Cork,Ireland,P56 FY28
Monksland,,Athlone,County Westmeath,Ireland,
Yellow Walls,,Lucan,County Dublin,Ireland,
Clonard Little,,Wexford,County Wexford,Ireland,Y35 Y99H
Lisanisk,,Carrickmacross,County Monaghan,Ireland,A81 FY94
Maulnaskehy,,Clonakilty,County Cork,Ireland,P85 HP68
Cambrickville,,Dundalk,County Louth,Ireland,A91 E5W4
Tivoli,,Silversprings,County Cork,Ireland,T23 Y1EW
,,Cork,County Cork,Ireland,T12 WDX5
Raheen,,Limerick,County Limerick,Ireland,V94 W0FN
Farrankelly,,Eden Gate,County Wicklow,Ireland,A63 YF88
Kiltipper,Dublin 24,,County Dublin,Ireland,D24 EV8F
,,Lucan,County Dublin,Ireland,K78 P294
Rowlagh,Dublin 22,,County Dublin,Ireland,D22 W6W4
,,Dublin,County Dublin,Ireland,
,,Bray,County Dublin,Ireland,A98 NW83
Crobally Upper,,Tramore,County Waterford,Ireland,X91 W8D5
Carlow,,Carlow,County Carlow,Ireland,R93 FT62
Churchtown Upper,Dublin 14,,County Dublin,Ireland,D14 PH68
Cornyeal,,Westcourt,County Kilkenny,Ireland,
Athlone,,Athlone,County Westmeath,Ireland,
Cooper's-Lot,,Áras Na Rí,County Tipperary,Ireland,E25 K721
Codrum,,Macroom,County Cork,Ireland,P12 DW96
The Liberties,Dublin 8,,County Dublin,Ireland,D08 X3C1
Ballough,,Colecott,County Dublin,Ireland,
Newcastle,,Castletroy,County Limerick,Ireland,V94 W21W
Bahana,,Tincurry,County Carlow,Ireland,
,Baile Átha Cliath 18,,County Dublin,Ireland,D18 EC97
Gardens,,Kilkenny,County Kilkenny,Ireland,R95 D86Y
Rosslevan,,Ennis,County Clare,Ireland,
Headford,,,County Galway,Ireland,
,,Clonroche,County Wexford,Ireland,
Saint James' (part of Phoenix Park),Dublin 8,,County Dublin,Ireland,
,,Cork,County Cork,Ireland,
Cartronroe,,Cortonrue,County Galway,Ireland,
Rathmullan,,Drogheda,County Louth,Ireland,A92 WRK6
Ballydoogan,,Sligo,County Sligo,Ireland,F91 V2V5
Saint James' (part of Phoenix Park),Dublin 8,,County Dublin,Ireland,
Doon,,Doon West,County Galway,Ireland,
An Chill Bhán,,,Contae Luimnigh,Ireland,
Knockane,,Portlaw,County Waterford,Ireland,X91 D6H3
,Dublin 3,,County Dublin,Ireland,D03 Y6C6
Knocklyon,Dublin 16,,County Dublin,Ireland,D16 Y7R9
,,Limerick,County Limerick,Ireland,
Callan South,,Callan,County Kilkenny,Ireland,
Corbally,,Limerick,County Limerick,Ireland,V94 DA0E
Meakstown,,Dublin,County Dublin,Ireland,D11 NFP8
Killinardan,Dublin 24,,County Dublin,Ireland,D24 RWP6
Osberstown,,Naas,County Kildare,Ireland,W91 YY98
Dalkey,,Dalkey,County Dublin,Ireland,A96 V0D5
,,Dublin,County Dublin,Ireland,D13 WA49
Eightyeight Acres,,Baile Átha Buí,Contae na Mí,Ireland,C15 H0F6
,Dublin 16,,County Dublin,Ireland,
Drumcar,,Mullincross,County Louth,Ireland,
The Lough,,Cork,County Cork,Ireland,T12 AVR7
Collegepark,,Kilkenny,County Kilkenny,Ireland,R95 AE26
Springfield,,Bray,County Wicklow,Ireland,A98 RF83
Thornhill,,Celbridge,County Kildare,Ireland,W23 VE26
Wicklow,,Wicklow,County Wicklow,Ireland,A67 HE00
Fairview,Dublin 3,,County Dublin,Ireland,D03 KR63
Shanganagh,,Dublin 18,County Dublin,Ireland,D18 WY23
Clontarf West,Dublin 5,,County Dublin,Ireland,D05 E402
Lathaleere,,Baltinglass,County Wicklow,Ireland,W91 P8D6
,,Galway,County Galway,Ireland,H91 X6NN
Dromiskin,,Dromiskin,County Louth,Ireland,A91 PY11
Kilgobbin,Dublin 18,,County Dublin,Ireland,D18 RW62
Cloonacarrow,,Carrowcrin,County Roscommon,Ireland,
,,Dublin,County Dublin,Ireland,D16 XY38
,,Dublin,County Dublin,Ireland,D16 V4H6
Kilpedder East,,Old Russian Village,County Wicklow,Ireland,
,,Limerick,County Limerick,Ireland,V94 VW82
,Dublin 12,,County Dublin,Ireland,D12 P2K1
Clongower,,Thurles,County Tipperary,Ireland,E41 N2C5
Ballintemple,,Cork,County Cork,Ireland,T12 Y95A
St. Catherine's Park,,Leixlip,County Kildare,Ireland,W23 C2V5
Kilbarron,,Ballure,County Donegal,Ireland,
Farrannamartin,,Tuam,County Galway,Ireland,H54 TF85
Castlebellingham,,Castlebellingham,County Louth,Ireland,A91 K886
Lucan,,Lucan,County Dublin,Ireland,K78 P0A6
,Dublin 6W,,County Dublin,Ireland,D6W T856
,,Dublin,County Dublin,Ireland,D12 KW08
Hansfield,,Dublin,County Dublin,Ireland,D15 VX0E
Monaclinoe,,Limerick,County Limerick,Ireland,V94 H6YF
Cooldown Commons,Dublin 24,,County Dublin,Ireland,D24 X6X8
Baldoyle,Dublin 13,,County Dublin,Ireland,D13 K6C0
,Dublin 18,,County Dublin,Ireland,D18 E5F1
Moorfield,,Newbridge,County Kildare,Ireland,W12 W240
Cornahilt,,Ballyjamesduff,County Cavan,Ireland,A82 K6X0
Cornahilt,,Ballyjamesduff,County Cavan,Ireland,A82 A025
Lathaleere,,Baltinglass,County Wicklow,Ireland,W91 X7K6
,,Clonakilty,County Cork,Ireland,
,Dublin 4,,County Dublin,Ireland,D04 TY49
,,Dublin,County Dublin,Ireland,
,,Waterford,County Waterford,Ireland,X91 V5D3
Glenageary,,Dublin,County Dublin,Ireland,A96 X9F8
,Dublin 7,,County Dublin,Ireland,D07 TX60
Corrachuill,,Drumshanbo,County Leitrim,Ireland,N41 YX83
Ballyvoloon,,Cobh,County Cork,Ireland,
Farrannoo,,Ballina,County Mayo,Ireland,F26 Y8H1
,,Dublin,County Dublin,Ireland,
Drumbar,,Farnham Estate,County Cavan,Ireland,
,Dublin 24,,County Dublin,Ireland,D24 F297
Dalkey,,Dalkey,County Dublin,Ireland,A96 EW27
Drimna,,Kilrush,County Clare,Ireland,V15 FY86
Cloghmacsimon,,Bandon,County Cork,Ireland,P72 D254
Donaghmede,Dublin 5,,County Dublin,Ireland,D05 C6X2
,,Dublin,County Dublin,Ireland,D07 V2W9
Scallaichín,,,Contae Thiobraid Árann,Ireland,E34 C568
Duncarbry,,Tullaghan,County Leitrim,Ireland,
Rataine,,Retaine,County Meath,Ireland,
,,Galway,County Galway,Ireland,H91 E89Y
Tincurry,,Tincurry Cross,County Tipperary,Ireland,
Raneany West,,Laghy,County Donegal,Ireland,F94 XR88
Middletown,,Courtown,County Wexford,Ireland,Y25 F653
,Dublin 1,,County Dublin,Ireland,
Roebuck,Dublin 14,,County Dublin,Ireland,D14 P3C8
Killininny,Dublin 24,,County Dublin,Ireland,D24 W95V
Buzzardstown,Dublin 15,,County Dublin,Ireland,D15 C8NE
Carns (Duke),,Sligo,County Sligo,Ireland,F91 KW2X
